Date,Loc,TempLow,TempHigh,Steaming,Sun,WindDir,WindSpeed,DayWindDir,NightWindDir,DayWindSpeed,NightWindSpeed,DayHumidity,NightHumidity,DayPressure,NightPressure,DayCloud,NightCloud,DayTemp,NightTemp,Weather,RISK_MM
,Sale,3,,1,,W,31,WNW,WSW,7,17,60.59962369,60.52517048,1025.2,,6,1,8.3,,0,0
2016/5/9,Sydney,8.7,15.4,3.6,5.4,S,,W,SSW,26,31,52.16363307,57.00986643,1020.2,1020.3,4,5,,,0,0
2015/12/12,Perth,7.3,,,,,,E,SW,,,46.15633899,54.49254228,1022.9,1020.7,1,1,17.1,20.5,0,0
2016/6/7,BadgerysCreek,9.3,18.3,,7.993227011,S,37,SSW,,19,15,,52.3367019,1021.6,,4.167265902,4.27812027,16.2,16.6,0,0
,Penrith,18.8,38.3,5.694960464,7.993227011,ENE,,SE,NE,,9,32.80776296,77.39243095,1018.03427,1015.465952,4.167265902,4.27812027,23.9,37,0,
,,19.2,27.4,,,W,35,,W,11,24,42.37160646,,1004.2,1003.4,8,4.27812027,23.1,26.8,1,0
2013/1/28,Woomera,27.4,38.7,19,13.3,ENE,,NNE,,20,19,29.72664493,57.99985846,,1013.2,1,5,30.4,37.2,0,
2014/7/3,PearceRAAF,17.9,,5.694960464,11.6,E,56,,SE,28,30,26.48909358,56.01394697,1015.8,,0,0,24,34.6,0,0
2012/5/29,CoffsHarbour,22.6,30.2,7.8,9.9,NE,57,N,NE,24,43,62.99191147,52.51439951,1014.4,1011.2,2,,26.3,27.1,0,
2012/2/3,PearceRAAF,,,5.694960464,13.1,ESE,67,ESE,SE,30,31,29.07111128,56.09078208,,,4.167265902,,20.6,28.5,0,
2011/5/16,Brisbane,22.3,,6.6,10.5,SE,31,SE,E,11,,,60.01791442,1012,1008.7,6,1,25.9,28.8,0,0
2009/1/21,Melbourne,11.6,20.7,5.8,7.4,W,61,SW,WSW,20,26,39.31693764,58.59215615,,1011.8,7,,,19.7,0,
2013/12/13,Penrith,14.1,21.5,5.694960464,,SSW,,S,N,9,6,57.86200586,54.22448524,1018.03427,1015.465952,4.167265902,4.27812027,19.2,,0,0.2
,,4.9,15.8,5.694960464,7.993227011,,,S,S,22,,,83.45554817,1019.7,,,7,11,,0,0.4
2009/4/15,,5.2,18.4,5.694960464,7.993227011,E,35,ENE,,15,,41.70399026,61.05070857,1018.03427,,,,13.1,17.6,0,0
2009/11/28,,13,18.3,5.694960464,,WNW,48,WSW,W,,22,72.52496345,,1014.5,1013,,4.27812027,13.2,15.7,1,2
,Nhil,5.3,21,5.694960464,,W,59,WNW,,6,26,41.36870903,66.79239676,1019.7,1015.7,4.167265902,4.27812027,9.2,19,0,1.2
2013/5/9,BadgerysCreek,14.7,29.5,,,,43,W,N,9,9,59.742411,83.04318322,1007.7,1003.2,4.167265902,4.27812027,19.6,28.2,1,
2013/12/22,,12,,5.694960464,7.993227011,SSW,43,,SE,11,15,73.43098433,57.92570075,1020.9,,,4.27812027,,17.9,0,0.2
,Cobar,6.8,23.4,3,7.993227011,ENE,,E,SSE,11,,15.00187883,49.41622661,,1020.1,,1,16.5,23,0,0
,PerthAirport,,27.4,9.2,11.8,SSW,50,S,WSW,24,31,44.97984668,,1011.3,1009.6,,2,23.3,26.2,0,
,PerthAirport,24.9,39.5,13.6,10.6,,61,,ESE,15,24,30.50748503,55.28449782,1008.3,,1,5,30.9,37.3,0,0
,Albury,11.7,27.8,5.694960464,7.993227011,NW,30,,WNW,,15,39.22187137,73.51890769,1017.4,1014,6,4.27812027,15.3,26.9,0,0
2015/12/30,,6.2,18.6,2,7.993227011,,28,E,E,13,11,49.8168993,58.47022476,,1028.4,4,7,11.9,17.9,0,
2010/9/22,Albany,14.8,17.5,1.2,,,39.38314977,,,13,11,60.01634561,51.27285843,1026.3,1025.9,6,3,15.6,,0,0
,Launceston,12.2,17.8,,7.993227011,NW,,NNW,NNW,,19,,,1018.03427,1015.465952,8,2,13.6,16.1,1,
2014/5/18,,8.8,,,7.993227011,SE,,E,,2,20,,63.17362321,1031.9,1028.3,4.167265902,4.27812027,13.5,18.7,0,0
2014/2/21,,5,20.3,5.694960464,7.993227011,E,33,E,ESE,,15,41.94516096,65.64514351,1025.1,1021.3,4.167265902,4.27812027,10.2,19.2,0,0
2010/5/1,,12.2,14.5,3.2,0,S,61,SSW,,24,13,94.35669929,44.22659553,1013.2,1007.8,8,8,,13.1,1,53
2009/4/9,Cobar,20.6,32.8,5.694960464,7.993227011,SW,43,,SSW,22,24,27.61241964,75.03382521,1008.4,1008,8,4.27812027,21.7,,0,0
2009/2/9,,-0.2,17.2,3.4,10.1,SSW,30,,SSW,9,11,32.28544974,,1028.5,,0,0,8.4,17.1,0,0
2009/10/9,Albany,9.2,13.3,,,,39.38314977,SSW,SSW,33,,52.05578353,61.03546576,1021,1022,,3,11.7,12.8,1,1.6
2010/11/2,GoldCoast,13.2,,5.694960464,7.993227011,S,,SSE,,,19,54.41456281,50.91659533,,1023.3,4.167265902,,19.7,20.7,0,0
2017/1/13,Launceston,7.6,23.1,,,N,31,SE,,,15,42.09342338,66.3467004,1032.5,,,4.27812027,,22.1,0,0
2011/10/21,WaggaWagga,17.4,36.8,,,WNW,37,NNE,,13,9,14.30692842,49.76751463,,1009.6,,1,27.4,36.1,0,0
2014/8/16,Brisbane,23,32.9,9.4,10.8,SE,37,,ESE,4,15,,59.15724283,1016.9,1014,6,,26.3,,0,0.4
,,2.6,14.7,5.694960464,7.993227011,,,W,NW,26,,,63.14334828,1012,1011.6,,,,14,0,3.4
2015/5/6,,22.6,31,8,9.1,N,35,NNW,,11,17,69.5967027,,1009.5,1006.6,6,4,,29.5,0,0
2014/3/17,PearceRAAF,13.7,41.8,5.694960464,11.3,WSW,39,,SW,,30,,42.70406228,,,1,1,,36.6,0,0
2009/8/27,BadgerysCreek,18.4,32.7,5.694960464,7.993227011,NNE,39,NNE,ENE,,17,,,1019.7,1015.3,4.167265902,4.27812027,,30.5,0,
,Katherine,12.07827567,,,7.993227011,E,,E,E,,19,52.06864231,60.14369412,1013.6,1009.7,4.167265902,4.27812027,17.16262966,22.15705867,0,
2016/8/27,SalmonGums,12.9,,5.694960464,7.993227011,NW,37,W,WNW,17,,25.02714375,,1018.03427,,4.167265902,4.27812027,22.1,30.2,0,0
2013/5/16,Bendigo,2.2,,5.694960464,7.993227011,NW,59,NW,,24,,73.42423432,,1013.6,,4.167265902,8,,,0,4.8
2012/7/14,,24.1,,13,11.9,E,52,E,ENE,26,,,46.54203056,,1009.7,1,,29.4,31.3,0,
2014/7/20,,3.4,25.9,5.694960464,,,,NW,E,7,13,46.44562369,85.63717113,1022.3,,4.167265902,1,11.8,24.7,0,0
2013/5/25,Watsonia,,36.7,10,13.8,NNE,37,NE,NNW,19,13,20.45367763,51.80822861,1013.9,,,1,27.1,35.2,0,0
2011/12/21,Dartmoor,5.1,11.8,1.8,0,N,,N,N,,22,,60.14369412,1018.6,1015.7,4.167265902,,8.1,10.4,0,5.8
2012/1/17,Sale,,14.2,,7.993227011,W,24,WNW,NW,11,17,64.74667431,75.78139318,1031.3,1029.4,8,7,9.6,13.7,0,0
2015/7/30,PearceRAAF,16.5,32.9,,13,WSW,44,,WSW,11,,39.26568895,52.50378049,1013,1008.8,4.167265902,4.27812027,24.6,30.9,0,0
2012/9/23,Richmond,18.1,30.5,1.8,,,31,NNE,NNE,4,19,54.90385592,,1014.3,1007,4.167265902,4.27812027,21.2,28.5,0,2.8
2009/5/28,Melbourne,7.8,15.6,,1,S,48,SW,S,,33,73.24416352,53.83164436,1015.8,1015.3,,,,14.6,0,6.8
2012/11/11,,,,1,6.3,NW,33,S,SW,7,11,54.4088047,65.21542048,1024.9,,4.167265902,4.27812027,,15.7,1,0
2014/2/19,Richmond,,21.8,5.694960464,7.993227011,WSW,50,,W,20,30,,48.6776597,1013.1,,4.167265902,1,18.2,21.3,0,0
2012/3/27,Ballarat,3.5,13.7,5.694960464,7.993227011,WNW,,NW,NW,22,24,61.93223214,57.21454975,,1017.6,7,4,9.2,13.1,0,0
2012/4/12,Ballarat,10.3,,5.694960464,7.993227011,S,48,ESE,W,4,20,18.91249742,46.69205648,1008.3,1006.3,0,4.27812027,22.1,29.5,0,0
2014/9/12,,14.4,27.1,,,NW,,NE,NNE,9,13,59.72989684,49.88415799,1026.3,1023.2,,4.27812027,,,0,0
2012/6/6,Penrith,18.3,30.7,5.694960464,7.993227011,NE,31,,,15,17,,51.44174673,1018.03427,1015.465952,4.167265902,4.27812027,22.7,27.6,0,0.2
2012/11/13,NorahHead,,40.4,,,S,74,NW,,17,17,36.96302029,,1005.4,1002.9,4.167265902,4.27812027,,39.8,0,0
2014/8/11,MelbourneAirport,,13,0.6,0,N,39,N,N,17,19,61.73666904,63.09108829,,,7,7,7.4,,0,
2013/9/29,,-1.5,12.2,5.694960464,6,,,,NE,2,11,63.69711831,66.87267863,1033.2,,8,,4.7,11,0,0
2009/4/29,PearceRAAF,19,33.9,5.694960464,8.1,NNW,,E,SE,24,26,36.53560957,61.00791306,1017.1,1012.7,4.167265902,4.27812027,24,31.8,0,0
2014/5/9,Darwin,18,29.8,7.4,10.9,E,30,ESE,NNW,,17,53.43610865,,,1010,1,,23.8,27.9,0,
2009/8/21,Melbourne,12.3,18.4,,,S,33,SSW,,19,19,,58.25633898,1024.4,1023.6,7,2,13.7,17.6,0,0
2014/4/5,Watsonia,10,20.6,,0,,46,NE,N,11,17,43.8220622,49.7878733,1022.1,,8,,,20.6,0,0
2014/10/15,Sydney,11.7,22.2,5.4,10.7,NNE,37,,NE,6,17,65.56305536,50.82198904,,1016.6,0,3,,20.8,0,0
2009/9/10,,9.9,16.7,5.694960464,7.993227011,SW,,W,ENE,11,7,48.49040481,46.95575098,1013.1,,,4.27812027,14.2,15.1,0,1
2011/10/20,Launceston,10,21.3,5.694960464,7.993227011,,,ENE,WNW,6,13,61.62580845,73.27788436,1025.7,1022.5,4.167265902,4.27812027,,,0,0
2017/1/8,Melbourne,7.9,20.5,4.6,12.6,N,,,,7,,44.97984668,,,1017.9,0,2,12.9,,0,0
2010/6/15,AliceSprings,11.3,33.2,9.2,11.2,SW,50,NNW,,6,13,13.74043236,50.01923042,1019.5,1014.1,0,,21.7,32.1,0,0
,,7.8,15,5.2,8.9,SSW,46,NNE,SE,13,19,53.60027734,45.32479781,1020.1,1017.6,7,1,12.4,12.6,0,0
2010/10/23,Watsonia,,26.7,7,,SSW,33,S,SW,9,19,,58.73333793,1016.7,1013.4,1,0,17.6,25.2,0,0
,AliceSprings,-1.7,18.8,3.6,10.4,S,31,WNW,SSW,7,,26.81828394,61.92779254,1023.5,1020.5,0,0,,,0,0
,SalmonGums,1.4,17.8,5.694960464,7.993227011,SSW,31,WNW,SSW,17,19,55.85847978,57.86921975,1018.03427,,,4.27812027,10.9,16.6,0,0.2
2016/8/15,,15.9,22.5,5.694960464,7.993227011,NE,48,NNE,NE,17,37,75.82949458,51.20970723,1021.7,,,3,20,20.5,0,0
2012/3/2,,,21.8,3.6,,W,35,,SSW,13,17,,71.30602258,1015.4,1015.4,,4,15.7,20.1,1,0
2009/10/13,,9.1,18.9,4.2,0.6,NE,52,,NE,22,28,72.52035272,,1023.8,1020.1,7,7,15.2,,0,4.8
2010/12/30,Melbourne,16.5,36.3,11.6,1.5,NNW,,N,NNW,20,13,,,,1004.2,7,8,27.3,33.8,0,0
2016/7/18,WaggaWagga,16.3,30.6,6.4,,SSE,44,,SSE,17,7,46.44239754,,1015.6,1011.9,7,7,21.2,29.7,0,0.6
2010/8/20,WaggaWagga,1.6,,1.8,9.4,SE,24,ENE,,6,9,46.19689548,66.21934962,1030,,1,,8.2,17.2,0,
2013/9/29,Uluru,3.6,25.3,5.694960464,,NNW,22,SE,N,13,9,29.32658673,,1023.5,1019.1,4.167265902,4.27812027,10.9,24.5,0,0
2017/3/18,AliceSprings,,,7.6,,WSW,,,SW,24,28,33.40607329,58.97336269,,1007.5,2,5,29.3,34.8,0,0.4
2014/6/1,Woomera,17.5,34.8,5.694960464,13.4,SE,48,SE,,30,24,14.02541887,54.43834944,1014.8,1012.8,4.167265902,4.27812027,24,32.5,0,
2014/7/10,,-3.6,3.1,5.694960464,7.993227011,SW,56,SW,,20,26,88.72201198,62.898402,,1015.465952,4.167265902,4.27812027,-1.6,2.3,0,0
2012/9/4,PearceRAAF,15.4,30.9,,10.8,E,,ENE,,,15,26.67654667,58.9490842,,,,4.27812027,,30.2,0,0
2011/9/26,Cobar,4.8,,3.8,7.993227011,,26,ENE,E,15,11,48.59405481,65.55928354,1026.2,1024.3,3,5,10.6,14.9,0,0
2011/11/3,MelbourneAirport,,,2.4,1.6,NNE,30,,NE,7,11,,,1022.1,1016,,7,8.6,14.7,0,10.2
2013/12/10,AliceSprings,,29.1,5.4,10.9,,26,N,NNW,13,9,19.19912031,50.98009478,1019.5,1015.4,,0,19.7,,0,
2016/12/28,Cobar,14.3,30.9,4,12.5,WSW,,SSE,,11,9,17.79727857,,1017.8,1014.9,1,0,22.5,29.1,0,0
,,7.3,,5.694960464,7.993227011,S,,WSW,SE,,20,43.55102675,,1018.03427,1015.465952,8,5,11.5,14.4,0,0
2009/2/8,PearceRAAF,16.3,25.4,5.694960464,6.3,,30,E,NE,,11,44.38819514,48.68636154,1018.3,1016.3,4.167265902,,,,0,
2015/7/1,,6.9,21.8,,10.8,W,31,SW,W,6,7,37.62549308,55.75162935,,1016.5,1,0,16,,1,0
2014/5/21,SydneyAirport,20,23.5,8.2,11.6,,37,S,,22,26,77.01524204,54.56356375,1016.4,1013.9,6,7,21.5,22.5,0,0
2012/3/5,,14.3,25.7,6,4.8,NE,37,NE,NNE,26,,28.50834696,48.21182405,,1020.4,3,7,19.9,24.8,0,0
,,17.6,36.2,5.694960464,7.993227011,ENE,31,E,N,19,15,29.78850417,55.6904592,1016.5,1012,4.167265902,4.27812027,24.9,33.2,0,0
2010/1/22,Hobart,1.8,,0.4,8.6,NW,,NW,,15,11,60.94565043,63.58971538,1034.1,,1,1,5.4,,0,0.2
2010/4/27,,3.4,17.8,,,,35,ESE,NE,17,,41.45925812,,1027.4,,,1,,17.5,0,0
2009/8/7,Melbourne,9.6,21,3.8,10.1,NNW,43,NNE,,11,24,50.63262737,74.03577973,1029.7,1025.1,6,,,20.5,0,0
2013/11/29,,15.6,29,5.694960464,7.993227011,,26,ESE,NE,4,,42.49198096,57.47509825,,,4.167265902,4.27812027,21.2,27,0,0
2013/6/19,Ballarat,8.7,18.7,5.694960464,7.993227011,SE,,SSE,,22,,47.83324872,66.02380479,,1018.4,,4.27812027,10.7,17.3,1,
2009/5/24,Nhil,6.1,26.2,5.694960464,,,33,NE,N,19,13,27.56993975,64.63559878,1024.4,1019.7,4.167265902,4.27812027,12.9,24.5,0,0
2012/11/17,Perth,18.4,28.4,9.4,10.9,SSW,28,NW,W,9,11,62.04320702,47.60867013,1009.2,,6,8,,24.5,0,0
2015/9/8,Moree,16.7,39.7,17,13.2,ENE,37,NE,W,6,11,13.51987671,,,1001.5,1,1,26.6,,0,0
2014/10/26,Ballarat,,30.3,5.694960464,7.993227011,,41,WNW,WSW,9,19,34.26804208,56.17849353,1010.6,1008,0,4.27812027,20.1,29.9,0,
2016/5/20,GoldCoast,19,23.4,,7.993227011,,63,S,S,,50,69.87642554,47.93631997,,1009.8,4.167265902,4.27812027,22.2,22.2,0,0
2013/7/3,Nuriootpa,9.7,20.5,2.1,,,52,NE,NW,6,11,49.74716263,62.45719325,1025.9,,6,6,14.6,19.1,0,0.4
2014/11/30,Penrith,15.8,30.8,5.694960464,7.993227011,WNW,35,,NE,9,13,,,,,,4.27812027,19,30.2,0,3
2010/7/12,,14.1,33.7,4,10.4,,28,NE,NW,6,15,,,1019.3,1016.7,4.167265902,4.27812027,19.3,32.6,0,0
,,17.9,28.3,,,E,35,SE,SE,13,17,52.45449676,47.54733246,1022.8,1020.9,,2,,25.3,0,0
,Darwin,23.9,,6.4,8.7,NW,,ENE,,9,20,46.39497392,,,1008.4,4,5,28.3,32.7,0,0
,PerthAirport,20.5,33.1,11.4,11.7,E,46,E,ESE,22,,,56.01394697,1013.3,1009.2,0,0,,33,0,
2013/10/3,CoffsHarbour,13.6,18.3,2.8,3.6,,48,SW,,,19,78.69745151,61.36378726,1017.4,,7,8,,17.2,1,
2016/3/23,Townsville,24.8,29.3,5.694960464,0.3,ENE,,,NE,35,33,77.13491996,70.83266659,1005.5,1004.7,8,8,26.3,,1,
,Sydney,7.3,15.9,4,10,SSW,54,,SSW,24,28,39.87848749,57.49095152,1024.2,,1,1,,15.3,0,4.4
2009/11/12,NorahHead,12,19.5,5.694960464,,W,,,SSE,,11,64.37886469,50.02046664,1020.9,1018.9,4.167265902,4.27812027,15,18.1,0,
2015/4/24,,18.9,29.1,,,NNE,22,E,NNE,9,13,52.99474326,52.58938597,1009.9,1006.6,1,1,27,28.2,0,
2010/8/21,Richmond,19.2,20,,,SSE,,S,SSW,13,11,,53.40623463,1010.5,1014.4,4.167265902,4.27812027,19.2,16,0,9.2
2009/12/20,,15,23.2,,7.993227011,SW,61,WSW,,37,35,43.56281785,70.18576305,1007.7,1009.4,4,,18.6,,0,0
,Canberra,2.2,15.2,3,,,39.38314977,,,13.73379964,18.43587904,76.93426764,,1018.03427,1015.465952,,,7.8,14,0,1.8
2014/10/16,Cairns,22.8,,5,8.3,S,28,,NNE,13,15,67.61593787,51.85850371,1010.8,1006.9,7,,27.6,29.2,1,
2010/1/24,,,28.6,5.4,8.8,SE,,W,SSE,,19,44.05162274,73.08622863,1015.7,1009.9,7,1,16.7,27.1,0,0
2014/10/21,,17.7,35.4,5.8,,,130,N,WNW,,,51.64849711,63.68794798,1000.9,,4.167265902,4.27812027,21.3,22.5,0,3
2010/11/28,MelbourneAirport,7.6,22.6,6.4,11.4,SSE,39,,S,9,19,,,1028.6,1026,,1,,21,0,0
2015/10/7,Townsville,18,28.6,2.8,7.993227011,SSE,,SSW,NE,13,17,44.02690157,50.42539456,1017.7,1014,4.167265902,,23.9,27.7,0,0
,Cairns,18.3,26.6,3.6,10.6,SSE,43,SSE,,28,30,,52.59579387,1016.5,1013.7,2,1,,25.1,0,0
2017/5/13,,,13.2,1,9.5,,,,ENE,,15,55.22381526,72.07735118,1036.1,1033.6,3,5,8.4,12.9,0,0
,Townsville,13,25.9,,,,31,ESE,ENE,13,26,,55.7940889,1016,,2,2,21.7,25,0,0
2009/5/29,,8.8,,2,7.993227011,WSW,39,WSW,NE,9,11,,,1014.4,1011.4,0,,,,0,0
2012/2/16,GoldCoast,22.6,36.9,5.694960464,7.993227011,SSE,,NNE,N,11,28,65.48551373,57.36474826,1006.2,1003,4.167265902,4.27812027,28.4,,0,
,Mildura,,,,7.8,SSW,37,,SSW,15,,49.1448716,74.92603401,1019.1,,7,2,15.1,,0,0
2011/3/21,SydneyAirport,,23.8,2.6,,NE,48,SE,ENE,9,31,,64.9588568,,1017.3,4,4,17.4,22,0,
2014/1/13,MelbourneAirport,6.4,,,1.9,,37,W,SW,19,22,59.224331,72.14941604,1018.5,1019.5,7,7,,,1,0
,MountGinini,-0.4,0,5.694960464,,,81,SE,SSE,24,37,95.61460299,54.89515025,1018.03427,1015.465952,4.167265902,4.27812027,,-1.1,1,2.6
2012/7/10,Walpole,14.6,21,5.694960464,7.993227011,SE,39,SSE,SSE,17,24,53.8404655,48.97549826,1021.5,,4.167265902,,,18.3,0,0
2009/8/4,NorahHead,21.7,25.5,,7.993227011,S,33,S,SSW,9,13,72.521792,,1013.2,1012.1,4.167265902,4.27812027,22.2,,0,0
,Walpole,12.6,20.6,5.694960464,7.993227011,,48,SE,,,26,,,1021,1017.9,4.167265902,4.27812027,17.6,18.8,0,
,Launceston,5.1,,5.694960464,,N,31,N,NNW,2,20,57.42552259,62.52718339,1024.9,1020.9,4.167265902,4.27812027,13,18.5,0,
,Albany,18.6,24.5,8,10.4,,39.38314977,E,,,,,44.30239562,,1018.7,,2,21.8,,0,0
2009/5/18,Penrith,9.3,33.1,5.694960464,,ESE,30,N,S,4,,,69.06752503,,1015.465952,4.167265902,4.27812027,16.8,32.3,0,0
2011/6/19,,12.5,17.2,5.694960464,7.993227011,SSE,,,SSE,15,,64.73379002,,1011.8,1011.4,8,8,14.3,15.7,0,0
2011/8/20,,,,5.694960464,7.993227011,SSE,54,,,,,53.06484148,,1022.8,1021.3,4.167265902,4.27812027,22.3,24.2,1,0.4
2016/9/11,Townsville,,28.6,9,7.993227011,SSW,50,SSW,SW,30,24,30.66605056,44.80365912,,1013.4,5,,,,0,
2015/12/4,MelbourneAirport,,23.3,9,13,SSW,48,SE,S,28,,41.17263011,59.0365063,1018.5,1016.7,3,1,17.5,22,0,0
2009/1/16,Cairns,24.9,,4.6,,,35,SSE,,15,19,60.38962942,66.42296586,1011.4,,7,7,27.6,31.5,1,102.2
2010/7/29,PerthAirport,7,23.3,6,11.6,,35,S,SW,9,17,51.63992458,51.12089471,,1016.1,2,,,21.6,0,0
2009/3/17,Dartmoor,4.2,,3.2,5.4,NW,39,N,,,19,87.23353125,,1014.3,1010.9,,4.27812027,10.8,16,0,0.6
2009/3/23,,6.7,16.8,,7.993227011,NNE,63,,NNE,26,,57.88798731,66.32832464,1006.4,,7,4.27812027,9.7,15.6,0,0.4
2015/7/1,Albury,-1.4,11.5,,7.993227011,W,,,WSW,6,,66.97849322,68.2679421,1019.1,1019.3,4.167265902,3,3.6,10.4,0,0
2015/2/26,,13.9,25.8,3.2,6.3,WSW,35,,WSW,2,,50.62081033,81.53471145,,1022.6,7,1,15,,0,0.2
2012/6/26,WaggaWagga,-0.4,16,,9.3,ENE,28,E,ENE,,11,47.83324872,66.02380479,,1032.6,0,1,7,15.9,0,
2008/9/7,,22.8,33.2,5,10.7,E,52,SE,,20,,43.07606448,,1013.3,1009.8,4,4,25.9,32.4,0,0
,Dartmoor,7.3,,5.694960464,7.993227011,NNW,35,,NNW,17,20,70.93804036,65.75622362,1026,1023.9,4.167265902,,8.9,15.2,0,0.8
2009/3/1,Walpole,13.1,20.5,5.694960464,7.993227011,ESE,52,ESE,ESE,20,31,77.81394915,,1016.4,1016.2,4.167265902,4.27812027,19.1,19.7,0,
,,,26.7,5.694960464,7.993227011,NNE,31,N,NNE,9,26,65.02205252,61.8233126,1018.5,,,4.27812027,,25.3,0,0
2013/12/27,MountGambier,14.4,43.1,10,13,WSW,46,,,17,31,11.77807145,48.07459596,1010.2,1009,0,3,32,41.8,0,
2009/6/27,Canberra,9.9,24.4,5.8,,NE,28,SE,E,,,42.45747,60.6006133,1021.6,1019.2,1,4,,22.7,0,
2009/10/26,Nuriootpa,,18.8,5,8.8,S,43,SSE,S,20,24,52.86540844,66.16663837,1020.5,1016.8,8,6,,17.1,0,0
